Exposure (mins),Sample 1,Sample 2,Sample 3,Sample 4,Sample 5 ,Sample 6,Sample 7,Sample 8
0.055701106,2.00E-25,3.51E-31,1.15E-61,1.76E-50,1.59E-21,2.25E-27,6.47E-62,3.33E-22
0.056826343,1.51E-24,2.89E-30,1.44E-59,7.02E-49,6.93E-21,1.72E-26,9.68E-60,1.44E-21
0.057974311,1.13E-23,2.42E-29,1.79E-57,2.83E-47,3.04E-20,1.31E-25,1.44E-57,6.30E-21
0.05914547,8.47E-23,2.05E-28,2.21E-55,1.14E-45,1.34E-19,1.00E-24,2.11E-55,2.77E-20
0.060340288,6.26E-22,1.75E-27,2.67E-53,4.57E-44,5.97E-19,7.66E-24,3.03E-53,1.22E-19
0.061559242,4.57E-21,1.50E-26,3.14E-51,1.82E-42,2.65E-18,5.81E-23,4.24E-51,5.42E-19
0.062802821,3.27E-20,1.29E-25,3.57E-49,7.15E-41,1.18E-17,4.36E-22,5.70E-49,2.40E-18
0.064071523,2.30E-19,1.11E-24,3.90E-47,2.75E-39,5.22E-17,3.23E-21,7.35E-47,1.06E-17
0.065365853,1.58E-18,9.49E-24,4.07E-45,1.03E-37,2.30E-16,2.35E-20,9.00E-45,4.65E-17
0.066686331,1.06E-17,8.04E-23,4.01E-43,3.75E-36,1.00E-15,1.68E-19,1.04E-42,2.03E-16
0.068033484,6.85E-17,6.72E-22,3.72E-41,1.32E-34,4.32E-15,1.17E-18,1.12E-40,8.77E-16
0.069407852,4.30E-16,5.54E-21,3.22E-39,4.43E-33,1.84E-14,7.96E-18,1.13E-38,3.74E-15
0.070809983,2.60E-15,4.47E-20,2.59E-37,1.42E-31,7.67E-14,5.25E-17,1.04E-36,1.57E-14
0.07224044,1.51E-14,3.52E-19,1.92E-35,4.32E-30,3.14E-13,3.34E-16,8.83E-35,6.50E-14
0.073699794,8.45E-14,2.70E-18,1.30E-33,1.24E-28,1.26E-12,2.05E-15,6.81E-33,2.63E-13
0.075188628,4.50E-13,2.01E-17,8.02E-32,3.35E-27,4.93E-12,1.21E-14,4.75E-31,1.04E-12
0.076707539,2.29E-12,1.44E-16,4.48E-30,8.43E-26,1.87E-11,6.86E-14,2.97E-29,4.02E-12
