Date,Bitcoin,Ethereum,Litecoin
17/11/2019,8522.93,183.58,59.17
16/11/2019,8481,182.25,58.21
15/11/2019,8457.48,179.82,57.53
14/11/2019,8630,184.55,58.91
13/11/2019,8758.34,187.72,60.84
12/11/2019,8810,186.98,61.4
11/11/2019,8721.54,184.65,61.74
10/11/2019,9032.23,188.88,63.66
09/11/2019,8807.89,184.77,62.04
08/11/2019,8763.01,183.62,60.4
07/11/2019,9198.84,186.42,61.37
06/11/2019,9341.27,191.13,64.16
05/11/2019,9322.09,188.88,63.16
04/11/2019,9412.53,186.25,61.41
03/11/2019,9206.52,181.73,58.34
02/11/2019,9308.52,183.25,58.38
01/11/2019,9253.12,183.19,58.34
31/10/2019,9159.48,182.38,58.37
30/10/2019,9164.44,183.38,57.96
29/10/2019,9430.8,191.1,59.84
28/10/2019,9226.5,182.02,57.83
27/10/2019,9548.84,184.41,59.91
26/10/2019,9259.78,180.03,56.88
25/10/2019,8668,181.66,56.95
24/10/2019,7430.87,160.67,49.66
23/10/2019,7474.85,162.49,49.54
22/10/2019,8024.72,171.3,53.42
21/10/2019,8209.92,174.37,54.72
20/10/2019,8236.12,175.49,54.96
19/10/2019,7965.28,172.09,53.81
18/10/2019,7954.16,172.96,53.31
17/10/2019,8076.2,177.31,54.95
16/10/2019,7993.54,174.5,52.51
15/10/2019,8162.44,180.58,54.56
14/10/2019,8355,186.85,56.87
13/10/2019,8282.97,181.18,56.48
12/10/2019,8309.03,179.86,55.77
11/10/2019,8267.33,180.84,55.94
10/10/2019,8587.5,191.79,57.77
09/10/2019,8590,193.26,59.26
08/10/2019,8180,180.72,57
07/10/2019,8209,180.26,57.56
06/10/2019,7859.79,170.18,54.48
05/10/2019,8147.63,176.73,56.85
04/10/2019,8156.67,175.97,56.51
03/10/2019,8240.41,175.05,56.44
02/10/2019,8381.72,180.82,56.43
01/10/2019,8321.52,176.15,55.8
30/09/2019,8304.96,181.17,56.09
29/09/2019,8052.4,169.38,53.91
28/09/2019,8217.47,173.9,55.53
27/09/2019,8193.99,174.44,56.05
26/09/2019,8060,165.85,55.21
25/09/2019,8438.35,170,57.53
24/09/2019,8530.01,166.26,55.5
23/09/2019,9693.74,200.8,66.47
22/09/2019,10026.8,211.1,72.26
21/09/2019,9973.99,214.8,73.18
20/09/2019,10168.85,218.06,75.1
19/09/2019,10275.01,220.8,76.82
18/09/2019,10155.26,210.27,77.75
17/09/2019,10185.39,207.95,74.13
16/09/2019,10262.54,197.59,72.76
15/09/2019,10304.46,189.3,70.14
14/09/2019,10360.25,188.85,70.62
13/09/2019,10365.93,181.65,69.09
12/09/2019,10423.72,181.09,69.28
11/09/2019,10160.2,178.3,69.81
10/09/2019,10093.01,179.64,70.75
09/09/2019,10310,180.63,69.93
08/09/2019,10398.97,181.56,70.56
07/09/2019,10484.37,178.08,68.87
06/09/2019,10308.92,169.2,64.98
05/09/2019,10574.73,174,65.27
04/09/2019,10581.84,174.82,67.13
03/09/2019,10628.48,178.96,69.12
02/09/2019,10381.26,178.8,67.2
01/09/2019,9766.52,171.29,66.1
31/08/2019,9600.86,171.93,64.35
30/08/2019,9582.42,168.4,64.21
29/08/2019,9495,168.82,63.46
28/08/2019,9714.31,172.79,66.79
27/08/2019,10171.85,186.94,72.75
26/08/2019,10361.65,188.3,73.38
25/08/2019,10138.72,186.59,72.15
24/08/2019,10147.96,190.89,73.4
23/08/2019,10410.85,194.59,75.48
22/08/2019,10107.15,190.41,73.39
21/08/2019,10130,187.37,73.19
20/08/2019,10769.09,196.56,75.11
19/08/2019,10920,202.32,77.16
18/08/2019,10315.48,194.74,76.34
17/08/2019,10217.79,185.59,72.71
16/08/2019,10352.78,185.26,74.76
15/08/2019,10300.01,188.2,76.25
14/08/2019,10025.86,186.3,75.81
13/08/2019,10854.92,208.58,84.53
12/08/2019,11389.28,211.26,85.78
11/08/2019,11540.76,216.06,89.78
10/08/2019,11280.95,206.1,85.17
09/08/2019,11856.1,210.3,84.32
08/08/2019,11981,220.81,90
07/08/2019,11975.03,225.8,90.5
06/08/2019,11465.49,225.81,92.88
05/08/2019,11819.49,233,96.39
04/08/2019,10977.51,222.81,92.95
03/08/2019,10820.76,222.14,94.2
02/08/2019,10533.01,217.8,94.83
01/08/2019,10405.94,217.55,98.89
31/07/2019,10087.3,218.7,98.89
30/07/2019,9589.01,209.83,90.33
29/07/2019,9495.01,210.73,90.24
28/07/2019,9533,211.5,90.02
27/07/2019,9479.98,207.11,88.87
26/07/2019,9843,219.35,94.33
25/07/2019,9883.33,219.28,93.29
24/07/2019,9772.6,216.59,94.45
23/07/2019,9840.12,211.93,90.02
22/07/2019,10323.39,217.13,95.12
21/07/2019,10590.7,225.64,99.76
20/07/2019,10761.03,228.89,100.48
19/07/2019,10538.06,221.21,98.75
18/07/2019,10649.07,226.31,101.4
17/07/2019,9696.31,211.4,90.25
16/07/2019,9422.72,198.89,79.68
15/07/2019,10854.47,228.28,90.5
14/07/2019,10185.03,225.76,89.72
13/07/2019,11370.08,269.04,101.15
12/07/2019,11802,275.55,105.16
11/07/2019,11349,268.68,102.94
10/07/2019,12097.96,288.64,108.28
09/07/2019,12571.11,307.92,119.51
08/07/2019,12293.53,313.24,123.5
07/07/2019,11474.42,306.34,120.18
06/07/2019,11237.77,287.57,118.25
05/07/2019,11004.51,288,118.54
04/07/2019,11136,282.8,119.59
03/07/2019,11976.42,301.79,121.78
02/07/2019,10829.18,291.25,118.59
01/07/2019,10577.63,293.7,122.54
30/06/2019,10761.26,290.07,122.06
29/06/2019,11865.29,317,133.21
28/06/2019,12360.45,309.37,119.47
27/06/2019,11159.29,293.47,114.16
26/06/2019,12927.44,334.86,130.64
25/06/2019,11755.53,316.59,135.55
24/06/2019,11032.32,311,135.26
23/06/2019,10833.02,306.98,136.66
22/06/2019,10666.86,308.49,141.46
21/06/2019,10236.2,296.25,139.04
20/06/2019,9531.21,272,135.75
19/06/2019,9277.54,268.79,136.81
18/06/2019,9078.48,264.37,135.1
17/06/2019,9333.14,273.97,134.21
16/06/2019,8975,268.33,137
15/06/2019,8860.23,269.29,138.35
14/06/2019,8697.46,263.8,132.56
13/06/2019,8239.04,255.4,130.89
12/06/2019,8176.02,262.92,136.19
